OffspringID,InferredDad,InferredMum,Probability
KCHILGMR21p_576,*,#,1
KCHILGMR21p_577,*,#,1
KCHILGMR21p_578,*,#,1
KCHILGMR21p_579,KTAHI20_21,#,1
KCHILGMR21p_580,*,#,1
KCHILGMR21p_581,KTAHI20_6,#,1
KCHILGMR21p_582,*,#,1
KCHILGMR21p_583,*,#,1
KCHILGMR21p_584,KKELS20_13,#,1
KCHILGMR21p_585,*,#,1
KCHILGMR21p_586,*,KKELS20_9,1
KCHILGMR21p_587,*,KKELS20_51,1
KCHILGMR21p_588,*,#,1
KCHILGMR21p_589,*,#,1
KCHILGMR21p_590,*,#,1
KCHILGMR21p_591,*,#,1
KCHILGMR21p_592,*,#,1
KCHILGMR21p_594,*,#,1
KCHILGMR21p_595,KTAHI20_45,#,1
KCHILGMR21p_596,*,#,1
KCHILGMR21p_597,*,#,1
KCHILGMR21p_598,KCHILGN20_67,KKELS20_54,1
KCHILGMR21p_601,*,#,1
KCHILGMR21p_602,*,#,1
KCHILGMR21p_603,*,#,1
KCHILGMR21p_604,*,#,1
KCHILGMR21p_605,*,KCHILFW20_48,1
KCHILGMR21p_606,*,#,1
KCHILGMR21p_607,*,#,1
KCHILGMR21p_608,*,#,1
KCHILGMR21p_609,*,#,1
KCHILGMR21p_610,*,KCHILGN20_108,1
KCHILGMR21p_611,*,#,1
KCHILGMR21p_612,*,#,1
KCHILGMR21p_613,KCHILGN20_113,#,1
KCHILGMR21p_614,*,#,1
KCHILGMR21p_616,*,#,1
KCHILGMR21p_617,*,#,1
KCHILGMR21p_618,*,#,1
KCHILGMR21p_619,KTAHI20_63,KTAHI20_23,1
KCHILGMR21p_620,*,#,1
KCHILGMR21p_621,*,KCHILFW20_35,1
KCHILGMR21p_622,*,KTAHI20_215,1
KCHILGMR21p_623,*,#,1
KCHILGMR21p_624,*,#,1
KCHILGMR21p_625,*,#,1
KCHILGMR21p_626,*,#,1
KCHILGMR21p_627,KTAHI20_151,#,1
KCHILGMR21p_628,*,KTAHI20_125,1
KCHILGMR21p_629,*,KCHILGN20_108,1
KCHILGMR21p_630,*,KTAHI20_43,1
KCHILGMR21p_631,*,#,1
KCHILGMR21p_632,*,#,1
KCHILGMR21p_633,*,#,1
KCHILGMR21p_634,*,KCHILFW20_71,1
KCHILGMR21p_635,KCHILGN20_54,KTAHI20_146,1
KCHILGMR21p_636,KTAHI20_32,#,1
KCHILGMR21p_637,*,#,1
KCHILGMR21p_638,*,KTAHI20_69,1
KCHILGMR21p_639,*,#,1
KCHILGMR21p_641,*,#,1
KCHILGMR21p_642,KCHILGN20_33,#,1
KCHILGMR21p_643,KBIGB20_14,KBIGB20_15,1
KCHILGMR21p_644,*,#,1
KCHILGMR21p_645,*,#,1
KCHILGMR21p_646,*,KTAHI20_62,1
KCHILGMR21p_647,*,#,1
KCHILGMR21p_648,*,KCHILFW20_52,1
KCHILGMR21p_649,*,KTAHI20_215,1
KCHILGMR21p_650,KKELS20_67,#,1
KCHILGMR21p_651,*,#,1
KCHILGMR21p_652,*,KTAHI20_16,1
KCHILGMR21p_653,*,KTAHI20_4,1
KCHILGMR21p_654,KKELS20_20,KKELS20_52,1
KCHILGMR21p_655,*,#,1
KCHILGMR21p_656,*,#,1
KCHILGMR21p_657,*,KCHILGN20_131,1
KCHILGMR21p_658,*,#,1
KCHILGMR21p_659,*,#,1
KCHILGMR21p_660,*,#,1
KCHILGMR21p_661,*,KTAHI20_187,1
KCHILGMR21p_662,*,#,1
KCHILGMR21p_663,*,#,1
KCHILGMR21p_664,*,KCHILGN20_17,1
KCHILGMR21p_665,*,#,1
KCHILGMR21p_666,*,#,1
KCHILGMR21p_667,*,#,1
KCHILGMR21p_668,KCHILGN20_126,#,1
KCHILGMR21p_669,*,KCHILFW20_60,1
KCHILGMR21p_670,KCHILGN20_117,#,1
KCHILGMR21p_671,*,#,1
KCHILGMR21p_672,*,#,1
KCHILGMR21p_673,*,#,1
KCHILGMR21p_674,*,#,1
KCHILGMR21p_675,*,#,1
KCHILGMR21p_676,*,#,1
KCHILGMR21p_677,*,#,1
KCHILGMR21p_678,*,#,1
KCHILGMR21p_679,KCHILFW20_42,#,1
KCHILGMR21p_680,*,#,1
KCHILGMR21p_681,*,#,1
KCHILGMR21p_682,KKELS20_20,#,1
KCHILGMR21p_683,*,#,1
KCHILGMR21p_684,*,KCHILGN20_142,1
KCHILGMR21p_685,*,#,1
KCHILGMR21p_686,KCHILGN20_59,#,1
KCHILGMR21p_687,*,KTAHI20_46,1
